gene	young_leaf	flower	one_cm_pod	pod_shell_10DAF	pod_shell_14DAF	seed_10DAF	seed_14DAF	seed_21DAF	seed_25DAF	seed_28DAF	seed_35DAF	seed_42DAF	root	nodule
Glyma0121s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0121s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0121s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0121s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0128s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0128s00210	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Glyma0128s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0128s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0142s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0142s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0142s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0142s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0142s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0146s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0146s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0146s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0146s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0156s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0156s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0156s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0165s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0165s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0168s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0169s00200	107	59	121	99	64	102	97	100	58	33	58	39	103	80
Glyma0169s00210	41	50	40	44	46	13	23	24	12	11	15	8	105	26
Glyma0175s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0183s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0196s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0196s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0196s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00210	2	2	2	1	0	0	1	2	0	1	1	2	1	0
