Line	D_20	GL_20	G_20	MD_20	MGL_20	AD_20	AGL_20	MG_20	TIF_20	Protein_20	Oil_20	Total-Isoflavone_20	Ds_20	Gs_20	GLs_20	D_21	GL_21	G_21	MD_21	MGL_21	AD_21	AGL_21	MG_21	TIF_21	Protein_21	Oil_21	Total-Isoflavone_21	Ds_21	Gs_21	GLs_21
JY048	445.3102927	120.0558291	669.3191474	1816.338781	465.4232161	192.0869884	48.64315886	2739.520124	6496.697537	49.922	12.792	6496.697537	2453.736062	3408.839271	634.1222041	308.5999333	120.1035667	576.6058	1372.8295	452.9702667	200.5835667	77.41993333	2283.7339	5392.846467	50.38866667	14.518	5628.351933	1882.013	2860.3397	650.4937667
JY049	296.5116667	58.38298188	389.7204888	1324.217429	372.4833659	143.1984949	34.80177864	1951.808801	4571.125007	46.00766667	15.74233333	4571.125007	1763.927591	2341.52929	465.6681265	324.2789667	115.1000333	543.5417333	1473.761967	402.6081667	177.3386	67.771	2192.662433	5297.0629	44.00766667	17.517	5793.995733	1975.379533	2736.204167	585.4792
JY050	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106.9527	62.43533333	264.0900333	699.9023333	229.4445667	117.4759333	53.0883	1125.6359	2659.0251	45.64666667	19.163	2508.886733	924.3309667	1389.725933	344.9682
JY051	86.59018011	39.71580497	167.0688016	513.1935636	252.6444122	70.89815578	17.09362483	974.0613056	2121.265849	45.454	15.61766667	2121.265849	670.6818994	1141.130107	309.453842	211.4133667	97.5058	378.0034333	1110.270433	299.7914667	154.1271333	58.7491	1444.498467	3754.3592	45.50766667	16.092	3745.741867	1475.810933	1822.5019	456.0463667
JY052	341.2018852	28.91948131	336.2822223	1448.740042	276.1869273	121.5800444	29.03526212	1701.463308	4283.409173	46.22666667	16.60733333	4283.409173	1911.521972	2037.74553	334.1416708	223.8389667	77.2481	383.0580333	1443.552667	431.6554667	148.7804333	45.04923333	1668.142233	4421.325133	45.62733333	17.95033333	4055.7422	1816.172067	2051.200267	553.9528
JY053	301.1636356	52.74299417	277.6452402	1318.490474	358.8837741	105.9374659	32.48885121	1423.840794	3871.193229	47.655	14.308	3871.193229	1725.591576	1701.486034	444.1156195	149.8647333	111.5331667	407.5249333	869.9908333	293.8316333	150.6375667	65.3577	1315.340667	3364.081233	45.59733333	15.62133333	3408.047533	1170.493133	1722.8656	470.7225
JY054	51.75239909	14.04046341	84.68326361	378.7156964	188.8123826	26.33539427	0	645.7681027	1390.107702	48.88633333	16.01	1390.107702	456.8034898	730.4513663	202.852846	131.2752	43.5206	188.6160333	1072.244933	189.1388	92.0241	50.58993333	980.3155333	2747.725133	49.006	16.606	2791.932967	1295.544233	1168.931567	283.2493333
JY055	311.4212462	41.79031647	214.3747613	1432.797258	297.6862004	85.28314166	18.45640702	1208.923578	3610.732909	48.23233333	12.42033333	3610.732909	1829.501646	1423.298339	357.9329239	457.9939667	129.6826667	605.0537667	2258.979467	428.8842667	213.6746667	63.7525	2639.726233	6797.747533	50.51233333	11.266	6795.975567	2930.6481	3244.78	622.3194333
JY056	401.8313575	128.4520588	388.4263827	1516.535267	586.4854541	132.4845878	0.719302411	1820.792461	4975.726871	44.684	14.27033333	4975.726871	2050.851212	2209.218843	715.6568153	199.1884	94.99046667	411.3179333	953.4033333	432.3069333	156.8278	66.50883333	1546.4714	3861.0151	44.86366667	16.88266667	3953.6491	1309.419533	1957.789333	593.8062333
JY057	460.7810037	96.40099981	529.5542412	2055.182807	594.4069863	183.4947392	10.49024963	2851.936295	6782.247322	45.49033333	14.87233333	6782.247322	2699.45855	3381.490537	701.2982358	514.9180333	128.0885333	628.059	2385.683367	531.2567333	179.5688	49.7762	2828.092933	7245.4436	42.68633333	16.41133333	7576.638033	3080.1702	3456.151933	709.1214667
JY058	37.72870375	36.21411546	90.43940053	216.8181137	247.4331485	45.04351354	10.53757898	608.3663657	1292.58094	46.30633333	17.10833333	1292.58094	299.590331	698.8057662	294.184843	186.5769333	64.8232	256.0665	1024.7155	321.5005	112.2682	44.77306667	995.2110333	3005.934933	46.905	17.878	2957.0397	1323.560633	1251.277533	431.0967667
JY059	268.7207694	49.21192675	595.7745517	1115.432593	291.6809446	177.0611939	22.93106569	2708.306594	5229.11964	45.77866667	14.88266667	5229.11964	1561.214556	3304.081146	363.8239371	319.4305667	121.0363667	512.8573667	1533.3737	351.3442333	196.8657	62.191	2172.0747	5269.173633	43.52666667	17.545	5591.592133	2049.669967	2684.932067	534.5716
JY060	31.1559322	20.25408953	25.73226632	207.1002327	191.6511559	4.832985163	0	206.2176236	686.9442855	49.46433333	15.409	686.9442855	243.0891501	231.94989	211.9052454	143.2000667	60.63856667	190.7855333	1007.598433	290.1590667	66.8927	39.1138	947.3446667	2745.732833	49.43633333	15.59566667	2596.561533	1217.6912	1138.1302	389.9114333
JY061	361.1070401	74.1094704	345.1729925	1230.898764	388.9804653	97.33492233	0.141647307	1597.214879	4094.960181	44.56433333	14.75966667	4094.960181	1689.340727	1942.387872	463.231583	298.6406	100.7172	425.4422	1608.625433	346.3976333	164.1592	51.74106667	1939.187167	4934.9105	46.132	15.998	4779.4336	2071.425233	2364.629367	498.8559
JY062	68.96124826	18.84770243	98.36731872	431.2898207	226.5631462	49.2827163	0	588.7381804	1482.050133	48.919	14.92066667	1482.050133	549.5337853	687.1054991	245.4108486	189.1086667	58.2585	261.8765667	1254.618833	284.8205333	112.0633	48.76786667	1170.299467	3379.813733	49.667	14.84133333	3529.4642	1555.7908	1432.176033	391.8469
JY063	33.96817427	11.04253675	183.6645266	205.9412193	148.524804	57.7268021	10.83345851	941.931102	1593.632624	49.61766667	12.85733333	1593.632624	297.6361957	1125.595629	170.4007993	86.56543333	51.99083333	175.5648333	758.8084667	234.2145	83.76426667	56.62453333	630.7816333	2078.3145	50.527	13.06433333	2238.469567	929.1381667	806.3464667	342.8298667
JY064	76.67267853	32.18705061	54.7251955	490.4420369	297.1060557	27.57278869	11.55911646	427.9374912	1418.202414	44.28633333	13.95533333	1418.202414	594.6875041	482.6626867	340.8522228	147.3259333	131.7767	467.3120333	990.5897333	331.1624333	152.5254333	61.78586667	1849.438967	4131.9171	49.909	13.17133333	4396.112333	1290.4411	2316.751	524.725
JY065	421.9925069	61.6446785	667.6583882	1867.538738	544.9217974	205.2822879	12.88438149	3316.256541	7098.17932	46.50266667	16.38166667	7098.17932	2494.813533	3983.91493	619.4508574	433.2010333	136.8064667	664.5204	2016.463533	563.4441	238.0290667	64.7585	2460.166167	6577.389267	44.356	18.11733333	6846.436833	2687.693633	3124.686567	765.0090667
JY066	323.2098087	116.1430522	598.4719572	1310.708899	682.8908099	172.8640371	9.511651701	2686.255886	5900.056102	44.945	16.12933333	5900.056102	1806.782745	3284.727843	808.5455138	290.0303	105.4362667	452.4913667	1158.936667	388.9082667	147.5954667	76.46113333	1766.687467	4386.546933	44.97266667	17.21833333	5064.236033	1596.562433	2219.178833	570.8056667
JY067	140.2395809	39.33475561	135.6625299	645.2257759	315.2568774	41.52698017	0	788.6146997	2105.861199	50.22733333	14.16733333	2105.861199	826.9923369	924.2772296	354.591633	180.7523333	87.37963333	301.8316	1133.292067	355.3688	125.3900667	63.78056667	1358.342667	3606.137733	51.57033333	13.84333333	3177.133467	1439.434467	1660.174267	506.529
JY068	639.3242611	120.375415	564.7056179	2379.157086	457.519586	159.8303003	5.208989764	2388.358143	6714.479399	43.98866667	15.74766667	6714.479399	3178.311648	2953.063761	583.1039907	358.8084333	114.4189333	499.9864	1828.821933	407.4384333	197.6005667	71.8258	1984.7972	5463.6977	43.825	15.649	5408.246733	2385.230933	2484.7836	593.6831667
JY069	68.05598937	35.57341433	153.4119242	390.7770969	274.6480516	70.91602972	0	846.2524663	1839.634972	44.909	16.87433333	1839.634972	529.749116	999.6643905	310.2214659	202.5468667	72.19743333	319.2829667	930.1192333	308.3646333	138.4670333	70.36743333	1264.433433	3305.779033	49.45466667	15.623	3494.1263	1271.133133	1583.7164	450.9295
JY070	468.3086129	81.73553545	423.0995724	1947.015676	510.9177551	16.6363792	7.724731888	2347.299945	5802.738208	45.24533333	16.15033333	5802.738208	2431.960668	2770.399518	600.3780224	333.9223667	96.0112	447.8000333	1465.600767	411.1523	165.0101333	64.24276667	1687.364267	4671.103833	50.761	14.30466667	4627.899067	1964.533267	2135.1643	571.4062667
JY071	87.62628534	31.88142222	112.975907	512.3825143	229.9680072	44.27360473	0	722.0835344	1741.191275	47.74966667	16.505	1741.191275	644.2824044	835.0594414	261.8494294	163.6296	75.1972	291.0596	844.6573	247.3977	148.8306667	73.1842	1195.042067	3038.998333	49.083	16.26066667	3246.5944	1157.117567	1486.101667	395.7791
JY072	301.6586573	74.18593976	315.4208173	1406.170909	505.3099296	21.96161587	0	1769.62303	4394.330899	41.51966667	21.044	4394.330899	1729.791183	2085.043847	579.4958693	240.4048333	81.42186667	363.4019667	998.4193333	361.3390333	151.8860667	69.21006667	1352.5927	3618.675867	46.05866667	18.094	3727.798167	1390.710233	1715.994667	511.9709667
JY073	171.7896242	55.01480975	170.6492582	884.6277342	286.5727109	3.831731845	0	1037.642184	2610.128054	50.52166667	11.85066667	2610.128054	1060.24909	1208.291443	341.5875207	288.5769333	100.5743	366.5603667	1420.056133	398.0276667	123.3098	69.1359	1825.006333	4591.247433	50.346	14.009	4852.093733	1831.942867	2191.5667	567.7378667
JY074	398.8683373	137.4811988	444.821277	1558.438662	521.5443241	17.77846659	5.943922249	2327.221577	5412.097765	37.46766667	18.305	5412.097765	1975.085465	2772.042854	664.9694451	311.4825667	107.7435	433.6948667	1458.343167	418.2377	145.1601	65.3038	1852.5329	4792.4986	42.826	17.47766667	4827.371733	1914.985833	2286.227767	591.285
JY075	392.0287347	148.0700789	463.6986868	1791.746367	734.4176219	23.82759438	8.85623357	2631.992407	6194.637725	39.99633333	19.37333333	6194.637725	2207.602697	3095.691094	891.3439344	280.0413333	111.3499	436.2528333	1297.127433	430.9436333	160.526	69.74666667	1787.290533	4573.278333	43.25566667	17.36766667	4554.510433	1737.694767	2223.543367	612.0402
