Glyma2.0	root	stem	flower	root_hairs	leaves	nodules	pod	seed	shoot_apical_meristem
Glyma.05g066300	0.45	0.02	0	1.37	0	6.64	0	0	0
Glyma.05g066400	0	0.01	0	0	0	0	0	0	0
Glyma.05g066500	6.8	24.85	8.69	22.16	2.32	22.35	23.71	20.36	31.33
Glyma.05g066600	0.14	3.3	0.03	1.08	0.1	1.76	0.5	0	0.51
Glyma.05g066700	42.95	7.84	41.81	7.06	25.3	8.33	9.8	4.06	6.51
Glyma.05g066800	34.53	9.91	9.79	12.38	6.85	11.47	9.61	10.27	6.11
Glyma.05g066900	0.09	0.18	0.51	0.32	0.67	0.27	0.12	0.16	0.27
Glyma.05g067000	3.78	4.29	4.42	3.64	4.39	4.91	4.52	6.27	4.34
Glyma.05g067100	2.24	14.17	57.89	2.16	11.35	4.13	11.16	7.16	12.17
Glyma.05g067200	0.39	0.81	0.84	0.81	0.77	0.56	0.99	1.15	1.04
Glyma.05g067300	31.55	34.62	31.7	33.69	31.65	32	35.36	49.61	37.9
Glyma.05g067400	638.08	318.27	174.99	575.5	238.72	371.67	187.32	425.8	388.98
Glyma.05g067500	1.53	1.01	1.12	1.07	0.99	0.64	0.95	0.23	0.73
Glyma.05g067600	0	0	0	0	0	0	0	0	0
Glyma.05g067700	13.96	11.32	3.9	16.91	2.35	16.1	15.06	12.39	10.46
Glyma.05g067800	4.48	1.17	1.11	2.88	0.32	2.65	4.31	2.49	1.74
Glyma.05g067900	3.72	2.7	2.74	6.78	5.1	5	2.47	12.74	7.28
Glyma.05g068000	0.84	3.83	2.98	1.62	104.49	1.76	0.59	0.1	1.05
Glyma.05g068100	0.4	0.68	0.57	1.51	2.65	0.93	1.85	0.01	1.7
Glyma.05g068200	2.52	3.08	3.71	2.71	3.92	4	4.27	5.23	4.77
Glyma.05g068300	0.11	0	0	0	0	0	0	0	0
Glyma.05g068400	13.48	6.07	3.15	7.32	11.71	6.52	12.71	11.72	5.49
Glyma.05g068500	23.02	21.14	2.44	24.46	10.65	21.41	30.15	8.92	20.09
Glyma.05g068600	12.79	10.46	24.02	10.65	14.47	10.87	11.5	12.06	8.58
Glyma.05g068700	0.1	0.2	2.26	0.13	0	0.73	0.2	0.05	0.1
Glyma.05g068800	0	6.71	3.29	0.27	0.2	1.12	20.2	10.58	2.24
Glyma.05g068900	16.64	15.12	1.52	19.66	2.62	12.51	8.67	5.55	8.85
Glyma.05g069000	0.17	0.36	0.31	0.48	1.16	0.38	0.42	0.63	0.49
Glyma.05g069100	0	0.09	25.13	0.64	5.57	1.71	1.02	0.41	2.61
Glyma.05g069200	0.29	1.43	0.08	0.55	1.24	0.56	0.53	0.45	0.29
Glyma.05g069300	1.54	0.38	0	1.36	0.21	0.1	0.28	1.18	1.58
Glyma.05g069400	0.04	0	0	0.05	0	3.32	0.01	0	0.02
Glyma.05g069500	0	0.05	0	0	0	0.4	0	0	0
Glyma.05g069600	0	0	0	2.85	0	13	0	0	0
Glyma.05g069700	0	0	0	16.11	0	82.43	0	0	0
Glyma.05g069800	0	0	0	0	0	0	0	0	0
Glyma.05g069900	0	0	0	0	0	0	0	0	0
Glyma.05g070000	21.89	91.12	15.21	46.76	18.94	33.54	103.72	132.14	40.35
Glyma.05g070100	0	0	0	0	0	0	0	0	0
Glyma.05g070200	3.43	6.79	2.54	4.68	10.95	1.61	6.36	19.24	37.62
Glyma.05g070300	181.35	82.15	81.62	67.12	38.91	95.82	58.48	64.51	60.81
Glyma.05g070400	1	1.45	3.74	2.09	0.8	5.81	0.32	0.32	1.07
Glyma.05g070500	7.87	7.78	22.65	33.94	6.8	29.1	9.76	14.5	10.46
Glyma.05g070600	0.8	2.06	4.55	2.94	6.16	5.56	0.47	2.19	0.91
Glyma.05g070700	4.07	5.68	2.19	9.79	2.29	5.27	8.63	13.43	10.59
Glyma.05g070800	0	0	0	0	0	0	0	0	0
Glyma.05g070900	0	0	0	0	0	0	0	0	0
Glyma.05g071000	0.04	0.11	0.04	0.05	0.04	0.08	0.05	0.07	0.13
Glyma.05g071100	0	0	0.03	0	0	0	0	0.01	0
Glyma.05g071200	0	0	0	0	0	0	0.32	0.1	0
Glyma.05g071300	0	0.02	0	0	0	0	0.05	0.06	0
Glyma.05g071400	0	0	0	0	0	0	0.19	0.18	0
Glyma.05g071500	0	0	0.04	0	0	0	0.14	0	0
Glyma.05g071600	0	0	0	0	0	0	0	0.04	0
Glyma.05g071700	0	0	0	0	0	0	0.02	0.02	0
Glyma.05g071800	0	0	0	0	0	0	0.26	0.25	0
Glyma.05g071900	0	0	0	0	0	0	0	0	0
Glyma.05g072000	0	0	0	0	0	0	0.19	0.08	0
Glyma.05g072100	1.9	1.37	1.93	1.06	1.44	1.79	1.16	1.41	1.43
Glyma.05g072200	1.05	1.65	0.58	1.44	0	2.46	1.45	3.87	8.67
Glyma.05g072300	32.12	7.1	5.73	11.78	10.99	11.3	7.51	7.29	4.45
Glyma.05g072400	1.65	0.21	0.13	0	0.46	0.84	0.35	0.18	0
Glyma.05g072500	0.13	0.18	0.11	0.34	0.29	0.25	0.17	0.46	0.34
Glyma.05g072600	3.62	0.28	1.43	5.12	0.19	2.18	0.16	0.3	1.07
Glyma.05g072700	0.02	0.01	3.61	0	0.02	0	0	0	0.01
Glyma.05g072800	0.01	0.01	8.33	0	0.01	0.02	0	0	0
Glyma.05g072900	0	0.01	1.37	0	0.01	0.01	0	0.01	0.01
Glyma.05g073000	0.01	0.03	4.58	0	0.01	0.01	0.01	0.01	0.02
Glyma.05g073100	0.18	0.18	0.72	0.51	0.23	0.03	0.21	0.15	0.08
Glyma.05g073200	6.29	3.95	6.67	5.84	4.87	4.85	3.93	3.02	2.51
Glyma.05g073300	9.08	11.93	8.21	8.62	10.32	7.97	9.61	6.42	6.39
Glyma.05g073400	7.99	5.74	5.19	5.11	4.21	4.98	5.19	6.2	6.96
Glyma.05g073500	3.95	3.22	2.28	3.08	3.86	2.79	2.48	2.58	2.85
Glyma.05g073600	0	0	0	0	0.61	0.2	1.74	0.45	0
Glyma.05g073700	8.83	15.92	1.63	7.97	7.09	8.7	5.38	7.16	8.73
Glyma.05g073800	2.02	18.11	6.11	9.4	1.91	7.89	11.33	0.55	8.05
Glyma.05g073900	0.69	0.13	0.08	0.47	0.05	0.21	0.01	0	0.14
Glyma.05g074000	0	0	0	0	0	0	0	0	0
Glyma.05g074100	0	0	0	0	0	0	0	0	0
Glyma.05g074200	0.56	3.69	1.39	1.6	0.57	0.47	2.68	0.33	3.45
Glyma.05g074300	0	0	0	0	0	0	0	0	0
Glyma.05g074400	47.53	26.03	24.98	38.35	25.62	29.8	21.31	14.99	22.52
Glyma.05g074500	0	0	0	0	0	0	0	0	0
Glyma.05g074600	0	0	0	0	0	0	0	0.05	0
Glyma.05g074700	0	0	0	0	0	0	0	0	0
Glyma.05g074800	1.3	5.44	8.58	2.78	11.08	2.83	5.8	3.62	6.82
Glyma.05g074900	1.05	3.53	3.49	2.6	21.48	0.66	62.39	23.55	6.89
Glyma.05g075000	5.92	0.9	0.03	0.25	0	0.07	0.43	0.16	4.5
Glyma.05g075100	30.75	0.46	5.37	27.58	0.07	18.47	8.74	18.01	26.54
Glyma.05g075200	0.14	0	0.07	0.06	0	0.11	0	0.16	0.33
Glyma.05g075300	0	0	0	0	0	0	0	0	0
