Glyma2.0	root	stem	flower	root_hairs	leaves	nodules	pod	seed	shoot_apical_meristem
Glyma.11g090100	23.91	23.38	13.6	26.23	15.81	15.93	19.78	21.2	15.15
Glyma.11g090200	1.99	5.6	0.42	12.69	5.23	12.92	0.87	0.23	5.36
Glyma.11g090300	2.86	2	3.03	2.62	5.16	3.34	2.58	3.02	2.84
Glyma.11g090400	30.14	18.93	10.21	26.36	12.07	20.29	11.94	18.65	35.84
Glyma.11g090500	38.9	30.92	18.53	42.81	20.57	30.93	22.04	43.98	31.82
Glyma.11g090600	0	0	1.07	0	0	0	0	0	0
Glyma.11g090700	7.74	11.42	10.22	8.42	8.66	8.31	11.12	9.09	9.38
Glyma.11g090800	95.2	119.4	161.99	48.24	76.19	45.92	48.95	26.83	38.79
Glyma.11g090900	40.84	49.67	43.71	57.05	46.23	36.8	37.69	49.23	34.03
Glyma.11g091000	16.21	9.59	3.36	12.84	7.26	12.7	12.65	8.73	7.39
Glyma.11g091100	0.6	0.18	0.12	0.11	0.32	0.12	0.23	0.22	0.43
Glyma.11g091200	25.45	14.6	14.93	21.33	13.37	13.53	14.65	16.58	12.02
Glyma.11g091300	5.11	0.27	0.51	0.75	0.54	0.19	0.48	0	0.43
Glyma.11g091400	25.71	25.94	34.49	12.84	21.66	5	18.57	5.89	5.62
Glyma.11g091500	11.39	8.84	4.76	16.9	8.67	13.21	9.5	8.63	17.61
Glyma.11g091600	0	0	0	11.96	0	23.3	0	0	0
Glyma.11g091700	3.52	2.59	0.9	7.36	5.35	3.77	2.35	3.35	3.04
Glyma.11g091800	45.34	19.63	19.75	27.83	18.86	25.16	17.86	25.09	19.14
Glyma.11g091900	9.77	10.85	8.37	7.92	12.72	8.32	9.38	15.24	11.84
Glyma.11g092000	4.58	19.13	6.34	11.19	20.09	8.38	14.15	2.6	13.44
Glyma.11g092100	36.4	15.35	9.24	14.8	20.19	10.5	15.2	12.33	9.33
Glyma.11g092200	5.8	10.04	11.22	11.1	11.03	11.14	9.75	11.22	16.39
Glyma.11g092300	28.57	15.5	22.46	16.66	10.8	14.98	11.2	9.45	9.25
Glyma.11g092400	0	0.11	0.85	0.02	0.1	0.08	0.24	0.08	0.08
Glyma.11g092500	9.54	10.55	5.47	12.27	7.96	12.08	11.56	16.44	13.31
Glyma.11g092600	12	6.23	0.75	18.69	0.22	11.02	3.97	3.38	13.46
Glyma.11g092700	3.23	2.78	3.38	2.87	4.43	2.64	2.48	3.8	3.29
Glyma.11g092800	0.4	0.38	0.49	0.51	0.25	0.15	0.28	0.42	0.44
Glyma.11g092900	0.87	6.36	4.54	2.3	8.24	3.57	2.5	3.96	7.37
Glyma.11g093000	127.8	80.67	58.53	90.19	59.69	88.21	58.23	59.14	66.43
Glyma.11g093100	0.02	0.18	1.47	0.98	1.77	3.55	0.21	0	0
Glyma.11g093200	10.32	27.39	9.68	29.16	57.2	33.54	34.35	74.68	34.09
Glyma.11g093300	1.76	0.21	0.02	0.62	0.06	0.88	0.45	1.94	2.22
Glyma.11g093400	0	1.23	0.23	0.52	3.15	0.45	0.5	0.57	0.6
Glyma.11g093500	15.1	6.47	1.58	15.17	0.57	18.47	5.91	6.91	13.57
Glyma.11g093600	22.86	3.94	11.58	2.89	6.99	3.88	3.62	2.38	2.38
Glyma.11g093700	3.66	5.04	3.64	4.44	4.63	3.31	4.42	3.42	5.38
Glyma.11g093800	3.11	0.17	2.42	0.1	0.04	0.01	2.05	0.66	1.35
Glyma.11g093900	10.98	12.1	9.35	4.27	6.96	0.27	9.33	0.61	33.49
Glyma.11g094000	53.65	52.49	38.36	35.91	38.44	36.38	58.38	51.68	28.36
Glyma.11g094100	0.65	1.15	1.11	1.39	1.63	0.92	0.62	1.1	0.85
Glyma.11g094200	24.93	10.29	9.34	19.99	19.78	14.67	7.91	9.57	18.05
Glyma.11g094300	11.32	14.97	12.68	22.07	15.4	15.66	15.92	17.24	11.31
Glyma.11g094400	7.86	8.77	3.13	13.89	8.99	11.51	7.57	11.15	8.11
Glyma.11g094500	5.91	1.68	0.7	0.56	3.08	3.04	0.56	0.11	0.75
Glyma.11g094600	3.21	1.7	2.6	1.64	2.4	1.95	1.9	1.98	1.53
Glyma.11g094700	7	8.2	4.74	8.17	12.68	5.18	14.98	15.59	16.11
Glyma.11g094800	0.46	0.25	2.66	0.64	0.07	0.38	12.25	4.83	0.12
Glyma.11g094900	0	0	0.18	0	1.64	0	0	0	0
Glyma.11g095000	1.57	0.33	1.27	0	4.42	0	1.61	0	1.32
Glyma.11g095100	16.43	0.91	6.13	0.76	4.59	2.02	1.6	0.85	0.07
Glyma.11g095200	0.97	0.24	1.59	0.16	0.94	0.19	0.04	0.06	0
Glyma.11g095300	3.27	3.16	3.53	3.28	2.26	2.8	3.93	4.79	2.27
Glyma.11g095400	0.16	0.44	0.98	0.42	2.62	0.31	0.55	0.64	1.26
Glyma.11g095500	0.66	1.45	1.86	1.93	0.96	1.67	2.13	1.98	2.44
Glyma.11g095600	1.24	1.51	1.36	3.8	1.18	2.95	2.7	2.78	2.94
Glyma.11g095700	26.31	26.06	3.66	27	0.28	27.14	10.21	17.36	49.57
Glyma.11g095800	2.73	2.96	4.27	2.48	4.47	3.62	3.81	4	3.25
Glyma.11g095900	0	0	0	0	0	0	0	0	0
Glyma.11g096000	1	3.46	10.42	3.26	12.44	3.98	4.07	5.6	4.19
Glyma.11g096100	8.01	7.7	11.19	7.84	8.7	9.48	7.95	6.75	8.96
Glyma.11g096200	35.94	55.39	68.93	42.72	54.73	36.47	69.63	55.95	27.88
Glyma.11g096300	3.39	4.41	4.96	3.06	10.56	1.19	4	11.71	15.84
Glyma.11g096400	16.26	20.42	17.5	9.04	15.67	12.54	14.68	7.13	9.73
Glyma.11g096500	4.87	5.02	5.94	6.06	18.54	3.75	13.94	7	8.44
Glyma.11g096600	1.99	3.34	2.33	1.02	11.7	0.84	3.9	2.69	0.55
Glyma.11g096700	18.53	8.52	17.3	20.03	7.08	10.75	4.08	5.79	2.33
Glyma.11g096800	0.12	3.17	5.37	0.11	0.34	0.26	2.26	0.03	0.03
Glyma.11g096900	0	0	0	0	0.07	0.14	0	0	0
Glyma.11g097000	0.38	3.44	1.17	1.49	4.82	2.14	6.16	0.12	0.35
Glyma.11g097100	15.49	5.62	1.52	4.49	5.71	10.26	3.89	4.11	10.73
Glyma.11g097200	2.52	5.36	9.04	3.3	24.88	3.37	8.87	9.24	11.86
Glyma.11g097300	3.11	5.41	3.56	2.62	2.11	1.38	2.35	3.16	0.85
Glyma.11g097400	1.62	3.41	1.27	3.31	0.18	1.66	5.06	4.19	5.63
Glyma.11g097500	47.33	29.82	44.35	18	29.92	22.97	1.79	4.16	4.85
Glyma.11g097600	0.96	0.2	1.09	0.19	0.79	0.26	0.07	0.12	0.06
Glyma.11g097700	0	0.13	0.14	0	0.18	0	0.02	0	0
Glyma.11g097800	0	0	0	0	0	0	0	0	0
Glyma.11g097900	0	0.02	0.02	0	0	0	0	0	0
Glyma.11g098000	51.71	23.96	31.32	24.03	14.63	26.87	22.49	44.31	22.06
Glyma.11g098100	20.91	0.71	16.29	9.16	2.4	15.91	7.3	1.37	0.27
Glyma.11g098200	0	0	0	0	0	0	0	0	0
Glyma.11g098300	136.31	65.77	34.28	123.39	61.61	88.63	70.33	211.8	63.04
Glyma.11g098400	22.75	11.95	65.33	0.85	233.59	0	14.02	0.22	260.92
Glyma.11g098500	16.89	8.93	47.71	0.72	152.15	0	9.86	0.08	168
Glyma.11g098600	0.37	1.25	1.35	1.03	1.86	0.83	1.28	2.55	1.73
Glyma.11g098700	290.86	372.13	467.59	475.91	276.56	356.11	352.41	615.72	463.92
Glyma.11g098800	16.44	12.53	13.16	14.82	10.83	14.92	10.37	14.96	13.8
Glyma.11g098900	0.33	0.5	0.72	0.84	0.72	0.87	1.01	1.74	1.24
Glyma.11g099000	20.32	22.79	13.05	28.49	23.49	17.52	19.88	18.09	26.16
Glyma.11g099100	8.84	5.7	10.47	7.58	6.58	5.18	5.93	3.14	2.86
Glyma.11g099200	7.26	7.68	5.99	11.4	6.7	9.79	7.66	10.37	9.85
Glyma.11g099300	25.28	40.88	36.15	26.42	116.35	17.19	36.24	44.03	121.49
Glyma.11g099400	0	0	0.19	0.16	0	0.05	0.21	0.04	0
Glyma.11g099500	212.9	113.75	115.13	162.44	72.48	145.62	98.46	272.88	142.42
Glyma.11g099600	0.13	0.08	0.45	0.06	0.49	0.04	0.08	0.07	0.07
Glyma.11g099700	7.87	3.78	1.13	3.52	36.74	2.28	4.74	3.74	4.63
Glyma.11g099800	2.8	2.44	1.93	4.33	2.32	4.03	1.87	3.44	6.83
Glyma.11g099900	0.6	0.78	0.94	0.77	0.96	1.04	0.72	1.08	1.47
Glyma.11g100000	5.94	2.38	2.36	5.28	2.35	4.69	5.25	8.94	6.4
Glyma.11g100100	1.55	0.75	1.26	2.54	0.09	2.76	0.8	4.28	0.04
Glyma.11g100200	0.09	0.04	0	0.79	0.14	1.83	0.06	0	0
Glyma.11g100300	21.44	12.7	6.77	23.23	12.73	18.14	9.32	11.93	15.22
Glyma.11g100400	2.41	3.31	5.4	3.74	5.71	3.78	4.93	4.47	3.14
Glyma.11g100500	0	0	0	1.92	0	0	0	0	0
Glyma.11g100600	0.03	0.21	2.83	0.01	0.13	0.08	0.01	0	0.03
Glyma.11g100700	7.58	6.16	6.67	12.02	7.92	7.5	8.02	19.65	17
Glyma.11g100800	1.06	3.66	3.08	1.24	23.66	0.7	7.18	3.8	16.03
Glyma.11g100900	0.02	0.23	0.02	0.1	0	0.05	0.12	0	0.06
Glyma.11g101000	0	0.23	0	0.07	0	0.12	0.02	0	0.04
Glyma.11g101100	0.64	0.13	0	0.01	0	0.13	0.02	0	0
Glyma.11g101200	2.56	0	0.03	0.13	0.68	0.04	0	0	0
Glyma.11g101300	225.68	0.18	0.55	3.65	0.04	3.11	0.3	0.44	1.86
Glyma.11g101400	81.36	14.95	6.95	29.67	14.64	18.63	20.17	69.92	32.72
Glyma.11g101500	31.16	38.38	28.37	82.38	59.3	43.42	31.08	73.25	41.96
Glyma.11g101600	8.83	8.62	7.22	14.87	11.31	8.48	6.76	10.98	8.11
Glyma.11g101700	7.45	5.86	10.96	6.49	6.44	8.88	7.93	9.46	7.14
Glyma.11g101800	2.08	2.65	2.24	3.15	5.04	2.77	2.55	3.64	3.2
Glyma.11g101900	0	0.23	0.01	7.2	0.03	52.58	0.51	0.06	0.09
Glyma.11g102000	3.48	3.61	2.65	2.74	2.13	2.81	4.02	4.08	4.78
Glyma.11g102100	21.54	24.61	28.42	38.52	46.72	25.52	29.66	32.88	26.97
Glyma.11g102200	5.07	7.08	3.59	8.74	6.04	6.75	9.46	14.39	7.15
Glyma.11g102300	0.85	3.85	3.16	0.75	13.67	0.16	4.37	0.91	8.76
Glyma.11g102400	3.59	2.61	2.17	1.9	2.79	2.3	2.15	2.18	2.73
Glyma.11g102500	0.04	0.23	0.1	0.26	0.22	0.07	0.24	0.16	0.09
Glyma.11g102600	2.63	5.36	6.67	5.57	7.54	4.75	6.28	6.59	5.69
Glyma.11g102700	4.49	5.22	6.24	4.52	4.82	4.77	5.57	6.58	6.86
Glyma.11g102800	2.41	2.62	2.68	3.18	3.11	3.11	3.5	3.54	2.48
Glyma.11g102900	4.07	4.89	4.79	4.14	3.8	4.51	5.99	5.13	5.83
Glyma.11g103000	39.83	27.36	18.57	26.07	19.41	27.51	23.72	22.02	22.43
Glyma.11g103100	2.75	6.05	7.68	6.36	8.8	5.85	7.23	8.22	6.77
Glyma.11g103200	3.22	2.99	4.74	2.13	4	2.65	3.23	2.94	3.55
Glyma.11g103300	5.32	4.56	4.41	3.89	11.25	3.84	7.64	5.38	4.16
Glyma.11g103400	0.16	0.09	0.03	0.33	0	0.44	0.07	0.19	0.09
Glyma.11g103500	101.74	44.23	15.14	200.91	11.76	105.54	51.99	128.48	98.59
Glyma.11g103600	1.25	0.56	0.85	0.83	0.39	1.07	0.71	0.57	1.52
Glyma.11g103700	168.55	121.25	50.16	224.85	99.15	152.87	95.83	258.74	146.88
Glyma.11g103800	18.49	9.35	10.36	13.93	11.67	13.26	9.57	14.61	11.46
Glyma.11g103900	5.68	8.68	4.75	7.19	6.3	7.33	7.73	5.58	5.95
Glyma.11g104000	3.34	6.13	5.43	5.97	6.09	5.9	7.84	6.22	6.17
Glyma.11g104100	0.45	3.18	13.95	0.3	59.74	0.42	8.63	6.2	5.09
Glyma.11g104200	2.34	1.47	13.44	1.67	12.77	0.96	3.36	6.14	3.19
Glyma.11g104300	5.13	11.56	4.79	10.25	3.83	25.45	4.16	2.13	5.85
Glyma.11g104400	0.28	0.63	0.56	0.74	1.66	1.02	0.8	0.8	0.99
Glyma.11g104500	7.17	8.49	6.58	12.67	4.75	8.71	6.67	9.28	8.67
Glyma.11g104600	0.78	0	0	0.1	0	0	0	0	0.06
Glyma.11g104700	1	0.96	2.56	0.84	2.55	1.45	1.92	1.74	2.34
Glyma.11g104800	0.95	0.11	0	1.24	0.04	0.73	0.03	0.04	0.05
Glyma.11g104900	9.16	8.8	9.65	9.53	7.8	9.45	11.86	8.9	11.84
Glyma.11g105000	3.54	1.97	1.4	6.7	2.12	2.68	2.71	5.88	7.07
Glyma.11g105100	0.17	0.25	0.51	0.3	0.28	0.47	5.75	4.32	0.48
Glyma.11g105200	0	0	0.08	0	0	0.02	0.02	0.11	0.11
Glyma.11g105300	1.64	1.1	1.67	1.75	1.05	1.54	0.48	1.04	1.53
Glyma.11g105400	12.55	15.06	10.68	20.26	18.73	21.66	20.4	25.51	10.94
Glyma.11g105500	8.57	7.15	8.41	8.19	10.53	8.32	9.91	19.01	10.71
Glyma.11g105600	0.55	0.37	0.25	0.73	0.81	0.83	0.61	1.03	0.81
Glyma.11g105700	15.59	0.68	4.06	2.63	0.76	4.15	0.5	0.25	0.12
Glyma.11g105800	4.53	1.09	29.57	3.91	2.39	10.11	5.9	1.08	2.53
Glyma.11g105900	44.47	75.36	47.47	76.7	33.08	44.12	46.6	53.59	62.41
Glyma.11g106000	3.43	11.15	1.23	12.85	0.24	3.96	1.93	6.76	17.14
Glyma.11g106100	0.36	4.65	3.44	4.3	2.3	6.12	5.57	4.96	4.19
Glyma.11g106200	0	0.94	0.14	0.49	0.03	0.16	1.34	0.35	1.5
Glyma.11g106300	1.94	26.9	192.43	6.49	11.26	4.14	21.86	2.75	19.53
Glyma.11g106400	23.32	32.31	27.9	21.84	16.01	19.73	33.54	16.64	24.24
Glyma.11g106500	10.53	8.91	7.6	9.99	8.07	7.06	10.51	8.05	6.65
Glyma.11g106600	17.15	60.14	10.3	16.52	2.82	11.42	18.72	27	7.47
Glyma.11g106700	0	0.91	0.07	0.25	0.01	0.15	0.05	0.28	0.11
Glyma.11g106800	2.54	12.83	4.03	8.95	5.62	5.5	9.38	15.93	6.59
Glyma.11g106900	2.96	4.43	4.69	2.06	1.26	1.57	1.08	6.69	0.39
Glyma.11g107000	0.02	17.56	30.25	0.48	4.64	1.11	8.7	0.2	0.48
Glyma.11g107100	6.86	6.92	20.49	6.24	6.53	5.25	8.21	8.29	10.95
Glyma.11g107200	38.51	31.22	28.74	44.29	90.89	34.47	41.16	18.11	37
Glyma.11g107300	28.48	32.53	18.48	24.75	6.55	23.43	28.35	25.12	18.79
Glyma.11g107400	0.67	0.33	0.32	0.28	0	0.17	0.18	0.29	0.17
Glyma.11g107500	7.63	11.58	20.39	13.34	13.72	11.93	16.65	14.25	11.32
Glyma.11g107600	0.31	0.23	4.58	0.05	0.71	0.03	0.13	0.01	0.07
Glyma.11g107700	59.97	41.94	25.04	33.18	14.99	46.88	90.13	185.63	36.83
Glyma.11g107800	6.11	24.68	4.8	9.17	12.05	10.58	17.8	6.72	4.32
Glyma.11g107900	4.96	7.17	6.2	8.5	4.94	6.58	12	11.12	6.02
Glyma.11g108000	2.32	0.03	0.38	1.43	0.12	6.13	0.08	0.25	0.11
Glyma.11g108100	17.84	20.54	15.65	13.7	18.87	12.76	16.85	12.65	14.25
Glyma.11g108200	0.07	0	0	0	0	0	0	0	0
Glyma.11g108300	2.16	0.02	0.34	9.92	1.59	1.5	0.03	15.21	0.8
Glyma.11g108400	0.6	0.05	0.84	0.92	0	0.53	0.02	0.02	0
Glyma.11g108500	10.27	17.71	4.26	10.76	2.72	8.32	11.09	4.94	9.31
Glyma.11g108600	0	0	0	0.92	0.44	2.37	0.42	1.36	0.42
Glyma.11g108700	13.02	13.37	17.31	18.09	14.52	17.33	17.01	27.83	19.04
Glyma.11g108800	18.48	25.91	19.15	22	17.12	20.02	25.24	21.1	20.96
Glyma.11g108900	3.39	4.62	5.45	3.81	7.89	2.88	5.73	4.2	7.56
Glyma.11g109000	8.7	9.4	13.1	5.61	6.55	7.12	5.8	4.33	5.44
Glyma.11g109100	23.63	16.29	53.5	11.8	20.32	13.93	9.42	8.03	5.47
Glyma.11g109200	0.34	0.48	0.09	0.21	0	0.37	0.06	0.12	0.47
Glyma.11g109300	2.54	3.16	2.91	3.72	3.9	3.89	2.71	1.15	2.81
Glyma.11g109400	24	16.85	6.2	35.79	25.32	25.1	14.52	21.77	19.21
Glyma.11g109500	0	0	0.01	0	0	0	0.26	0.17	0
Glyma.11g109600	1.75	1.47	16.85	3.79	2.07	5.29	0.42	3.56	1.41
Glyma.11g109700	7.97	7.5	8.44	5.26	9.2	6.03	7.57	8.45	5.76
Glyma.11g109800	9.48	8.77	17	5.48	11.4	8.84	9.27	11.37	8.57
Glyma.11g109900	11.64	14.02	10.63	8.63	7.05	8.84	10.9	6.86	7.98
Glyma.11g110000	1.43	3.66	3.3	1.7	16.7	1.93	4.19	1.75	6.48
Glyma.11g110100	163.58	129.89	61.1	121.08	57.9	91.3	88.47	79.7	72.05
Glyma.11g110200	0	0.26	0.18	0.1	0.03	0.09	0.03	0.08	1.26
Glyma.11g110300	13.07	7.95	30	7.58	4.79	6.35	8.05	11.67	9.93
Glyma.11g110400	21.6	18.22	22.62	19.08	12.14	24.6	15.67	8.2	20.25
Glyma.11g110500	0.05	0.01	0.24	0.04	0	0	0	0	0
Glyma.11g110600	1.14	2.58	3.4	2.51	5.58	1.76	2.51	3.02	7.84
Glyma.11g110700	2.78	0.29	0.62	7.57	0.16	1.16	0.41	2.64	6.65
Glyma.11g110800	15.63	33.11	2.99	7.71	2.41	7.97	14.5	1.98	12.64
Glyma.11g110900	3.26	6.86	3.34	1.94	9.01	3.68	6.58	5.29	5.33
Glyma.11g111000	20.01	8.49	9.18	12.2	9.86	11.5	4.43	9.76	10.71
Glyma.11g111100	0.7	14.74	6.24	2.54	194.29	0.62	34.45	61.29	18.98
Glyma.11g111200	0.79	1.12	0.81	1.06	3.25	1.01	1.41	2.07	2.63
Glyma.11g111300	2.99	2.97	3.41	3.3	4.92	3.99	3.92	6.37	4.97
Glyma.11g111400	2.47	25.64	20.69	3.35	527.48	1.78	123.64	85.59	52.85
Glyma.11g111500	2.4	7.03	2.16	6.58	1.83	3.82	13.75	4.48	7.1
Glyma.11g111600	32.14	31.35	23.46	33.43	31.4	34.32	32.01	38.8	26.62
Glyma.11g111700	1.22	1.38	2.38	0.94	5.66	1.72	0.38	0.3	1.28
Glyma.11g111800	0.41	2.6	1.08	0.94	0.68	1.18	5.27	0.44	7.67
Glyma.11g111900	8.86	15.83	7.15	11.32	11.24	10.34	13.24	12.34	8.42
Glyma.11g112000	84.28	28.88	49.58	49.8	54.05	30.33	53.01	38.94	30.06
Glyma.11g112100	11.08	23.26	13.44	18.18	39.95	9.98	23.35	5.39	23.14
Glyma.11g112200	2.76	3.03	2.02	5.12	4.76	5.73	4.37	6.12	7.25
Glyma.11g112300	6.25	17.58	10.74	10.97	48.51	10.32	16.72	13.79	17.28
Glyma.11g112400	0.09	0	0	0.12	0.05	0.15	0.1	0.64	0.38
Glyma.11g112500	0.04	0	0	0	0	0	0	0	0
Glyma.11g112600	0.89	3.9	2.99	2.29	9.57	2.26	5.07	3.3	5.98
Glyma.11g112700	4.31	7.86	2.05	5.1	8.3	3.61	9.22	1.69	6.96
Glyma.11g112800	71.88	2.7	3.45	9.89	0.53	3.06	0.4	1.79	2.84
Glyma.11g112900	3.75	6.09	3.81	3.75	11.48	2.12	5.56	4.48	8.35
Glyma.11g113000	14.37	16.56	2.32	21.28	3.86	8.86	13.93	10.63	10.46
Glyma.11g113100	78.87	11.98	57.9	28.21	23.74	22.22	16.02	15.54	16.29
Glyma.11g113200	0.04	0.11	0.17	0.44	0	0.86	0	0	0
Glyma.11g113300	2.56	4.71	1.36	6.52	0.54	5.99	4.48	3.95	14.4
Glyma.11g113400	54.44	40.25	38.74	45.52	27.5	38.39	52	37.55	30.03
Glyma.11g113500	2.35	2.66	10.26	3.26	4.41	2.49	3.02	5.23	1.66
Glyma.11g113600	5.77	3.38	3.49	3.48	4.25	3.58	4.33	3.18	2.77
Glyma.11g113700	2.38	0.86	1.24	0.4	0.2	0.29	4.51	0.35	6.53
Glyma.11g113800	0.77	1.65	5.44	1.51	11.98	0.96	3	1.82	5.32
Glyma.11g113900	142.4	93.85	63.47	123.57	82.88	89.22	73.76	97.06	104.57
Glyma.11g114000	82.92	82.17	41.72	94.82	58.05	76.87	59.18	97.64	81.66
Glyma.11g114100	0.01	2.81	2.43	0.95	1.54	0.99	0.8	0.14	1.09
Glyma.11g114200	0.1	0.94	0.99	0.84	2.1	1.44	0.47	0.15	0.51
Glyma.11g114300	31.82	24.04	9.18	49.12	31.86	29.26	20.54	33.27	30.18
Glyma.11g114400	0	0.02	0.44	0	0	0	0	0.29	0
Glyma.11g114500	3.03	0.47	0.47	0.82	5.98	1.38	0.34	0.7	0.56
Glyma.11g114600	37.15	23.6	8.25	27.55	10.7	18.68	17.94	12.89	15.46
Glyma.11g114700	0.66	5.36	4.02	2.34	30.07	0.63	64.35	21.74	8.91
Glyma.11g114800	32.47	112.66	105.81	93.31	49.07	61.94	162.52	139.2	51.38
Glyma.11g114900	7.36	0	0	0	0	0	0	0	0
Glyma.11g115000	39.85	25.96	8.02	20.45	5.47	27.78	22.99	52.32	40
Glyma.11g115100	0.32	0.12	54.21	0.04	0	0.09	0.18	2.26	0.01
Glyma.11g115200	7.04	0.23	0.34	3.45	1.54	2.32	0.74	0.93	0.81
Glyma.11g115300	0	3.9	0.62	0.22	2.68	0.86	0.82	0.07	0.4
Glyma.11g115400	253.38	169.42	100.4	287.38	118.59	208.76	103.83	429.38	212.31
Glyma.11g115500	0.89	0.05	0.05	1.98	0.11	0.7	0.03	0.03	0.08
Glyma.11g115600	0.98	0	0.06	1.39	0.16	0.2	0.08	0.66	0.05
Glyma.11g115700	0.45	0	0	0.53	0.1	0.1	0.03	0	0
Glyma.11g115800	2.28	0.19	0.18	2.87	0.06	1.12	0.11	0	0.14
Glyma.11g115900	0	0	0	0	0	0	1.6	0.66	0.19
Glyma.11g116000	2.27	0.02	0	2.79	0	1.12	0	0	0
Glyma.11g116100	0	0	0	0	0.04	0	0	0	0.08
Glyma.11g116200	2.05	0	0	2.22	0	0.83	0	0	0.11
Glyma.11g116300	1.34	0	0	2.81	0	1.17	0	0	0
Glyma.11g116400	3.64	0	0	4.12	0.12	1.71	0	0	0
Glyma.11g116500	4.1	0	0	3.86	0.05	1.47	0	0	0
Glyma.11g116600	1	4.86	22.67	1.5	845.84	0.71	47.24	4.62	0.8
Glyma.11g116700	2.42	7.36	11.62	1.73	51.73	1.74	12.52	9.11	5.48
Glyma.11g116800	5.24	9.33	4.06	16.37	12.63	8.51	7.34	11.12	8.51
Glyma.11g116900	0	0.14	0.09	0.06	0.18	0.08	0.28	0.64	0.9
Glyma.11g117000	0.04	0.62	0.14	0.29	0.42	0.34	0.6	0.36	0.29
Glyma.11g117100	2.12	10.64	1.45	6.51	5.88	1.98	17.42	2	3.87
Glyma.11g117200	0	2.48	0.57	0.32	1.75	0.74	1.51	0.06	2.05
Glyma.11g117300	461.84	682.13	224.43	491.6	264.08	317.08	208.04	226.11	261.01
Glyma.11g117400	24.74	46.9	87.46	30.15	32.41	20.79	91.58	297.52	25.61
Glyma.11g117500	5.04	1.11	5.89	1.85	1.09	0.34	5.23	10.47	2.6
Glyma.11g117600	133.18	470.67	335.75	217.65	289.73	264.84	282.63	839.79	374.5
Glyma.11g117700	0.33	0.92	1.66	0.45	1.8	0.82	1.13	2.07	1.36
Glyma.11g117800	11.99	13.6	8.7	18.82	12.99	13.57	11.56	14.97	11.56
Glyma.11g117900	6.25	9.96	2.64	13.33	9.49	9.39	5.63	6.87	7.5
Glyma.11g118000	11	10.06	37.08	15.08	14.19	17.64	9.3	5.59	22.7
Glyma.11g118100	9.97	12.86	42.3	18.36	13.43	13.72	20.29	17.64	11.43
Glyma.11g118200	10.88	48.57	12.2	13.4	6.61	15.75	34.97	18.48	15.81
Glyma.11g118300	17.77	22.52	6.01	19.61	7.5	10.26	18	10.36	14.02
Glyma.11g118400	0.29	0.31	0	0.17	0	0.1	0.11	0.88	0.46
Glyma.11g118500	50.31	37.33	25.76	31.97	31.73	26.7	39.34	62.69	42.66
Glyma.11g118600	44.98	37.27	12.93	49.59	20.19	34.57	37.42	37.37	29.28
Glyma.11g118700	0	0	0	0	0	0	0	0	0
Glyma.11g118800	184.78	68.29	81.15	62.7	57.96	73.28	52.3	32.29	32.32
Glyma.11g118900	3.32	3.97	6.17	4.57	5.25	4.94	5.03	4.97	4.45
Glyma.11g119000	2663.47	13.82	9.33	630.98	0.84	564.99	0.38	3.85	0.14
Glyma.11g119100	119.54	2.29	24.19	135.04	0	57.21	7.3	382.8	1.06
Glyma.11g119200	54.48	35.88	4.73	2.07	4.14	1.69	1.62	0.33	2.52
Glyma.11g119300	23.03	27.18	23.4	22.13	75.69	18.08	21.18	25.73	45.71
Glyma.11g119400	0	0.08	0.1	0	0	0	0	0	0
Glyma.11g119500	31.14	21.4	25	39.93	49.91	41.86	2.52	0.46	16.95
Glyma.11g119600	0	0	0	0	0	0	0	0	0
Glyma.11g119700	3.6	3.88	5.78	2.04	4.03	2.29	4.48	2.55	3.46
Glyma.11g119800	60.05	22.94	12.94	24.65	17	22.24	20.76	12.41	13.07
Glyma.11g119900	228.04	0.16	0	30.5	0	38.37	0.01	0	0.11
Glyma.11g120000	0	0	0	0	0	0	0	0	0
Glyma.11g120100	0	0	0	0	0	0	0.86	0	0
Glyma.11g120200	319.18	1.59	0.87	14.3	2.11	17.63	0.12	0.07	0
Glyma.11g120300	44.01	36.25	14.9	66.15	44.28	41.5	50.53	65.76	37.13
Glyma.11g120400	109.01	152.58	3.84	184.98	1.86	235.4	83.47	4.04	2.42
Glyma.11g120500	1.11	0.65	5.72	0.11	0.13	0.26	0.31	0.13	0.04
Glyma.11g120600	0.82	0.59	0.83	1.12	0.07	0.83	1.65	0.79	4.22
Glyma.11g120700	6	10.23	9.64	8	7.44	6.77	9.72	14.64	7.56
Glyma.11g120800	0.97	10.52	9.88	1.32	23.76	1.11	12.77	6.12	12.54
Glyma.11g120900	79.02	25.26	40.52	18.71	101.31	22.52	26.85	35.09	18.12
Glyma.11g121000	0.05	0.05	0.21	0.04	0	0	0.11	0	0.2
Glyma.11g121100	0.63	1.84	3.43	1.45	11.9	0.26	3.69	2.23	9.8
Glyma.11g121200	7.04	5.36	2.96	6.08	5.44	6.22	2.72	4.59	3.16
Glyma.11g121300	13.15	12.8	18.59	9.95	15.05	14.53	13.1	18.71	10.27
Glyma.11g121400	0.25	1.7	0.13	0.17	0.11	0.51	0.64	1.31	2.79
Glyma.11g121500	0.08	0.13	0.14	0.15	0.16	0.25	0.12	0.16	0.1
Glyma.11g121600	2.8	4.92	2.95	3.3	6.77	2.74	4.72	5.67	4.4
